Stage name,Appearance,MusicBrainz 1st result,Spotify ID,URL
Kasabian,0,https://musicbrainz.org/artist/69b39eab-6577-46a4-a9f5-817839092033,11wRdbnoYqRddKBrpHt4Ue,https://play.spotify.com/artist/11wRdbnoYqRddKBrpHt4Ue
The Rolling Stones,0,https://musicbrainz.org/artist/b071f9fa-14b0-4217-8e97-eb41da73f598,22bE4uQ6baNwSHPVcDxLCe,https://play.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe
Metallica ,0,https://musicbrainz.org/artist/65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,2ye2Wgw4gimLv2eAKyk1NB,https://play.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB
Gorillaz,0,https://musicbrainz.org/artist/e21857d5-3256-4547-afb3-4b6ded592596,3AA28KZvwAUcZuOKwyblJQ,https://play.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ
Bruce Springsteen,0,https://musicbrainz.org/artist/70248960-cb53-4ea4-943a-edb18f7d336f,3eqjTLE0HfPfh78zjh6TqT,https://play.spotify.com/artist/3eqjTLE0HfPfh78zjh6TqT
Arcade Fire,0,https://musicbrainz.org/artist/52074ba6-e495-4ef3-9bb4-0703888a9f68,3kjuyTCjPG1WMFCiyc5IuB,https://play.spotify.com/artist/3kjuyTCjPG1WMFCiyc5IuB
Coldplay,0,https://musicbrainz.org/artist/cc197bad-dc9c-440d-a5b5-d52ba2e14234,4gzpq5DPGxSnKTe4SA8HAU,https://play.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU
Radiohead,0,https://musicbrainz.org/artist/a74b1b7f-71a5-4011-9441-d0b5e4122711,4Z8W4fKeB5YxbusRsdQVPb,https://play.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb
Kanye West,0,https://musicbrainz.org/artist/164f0d73-1234-4e2c-8743-d77bf2191051,5K4W6rqBFWDnAN6FQUkS6x,https://play.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x
The Who ,0,https://musicbrainz.org/artist/9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa,67ea9eGLXYMsO2eYQRui3w,https://play.spotify.com/artist/67ea9eGLXYMsO2eYQRui3w
Neil Young,0,https://musicbrainz.org/artist/75167b8b-44e4-407b-9d35-effe87b223cf,6v8FB84lnmJs434UJf2Mrm,https://play.spotify.com/artist/6v8FB84lnmJs434UJf2Mrm
Beyonce,0,https://musicbrainz.org/artist/859d0860-d480-4efd-970c-c05d5f1776b8,6vWDO969PvNqNYHIOW5v0m,https://play.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m
Stevie Wonder,0,https://musicbrainz.org/artist/1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e,7guDJrEfX3qb6FEbdPA5qi,https://play.spotify.com/artist/7guDJrEfX3qb6FEbdPA5qi
Arctic Monkeys,0,https://musicbrainz.org/artist/ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,7Ln80lUS6He07XvHI8qqHH,https://play.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
Blur ,0,https://musicbrainz.org/artist/ba853904-ae25-4ebb-89d6-c44cfbd71bd2,7MhMgCo0Bl0Kukl93PZbYS,https://play.spotify.com/artist/7MhMgCo0Bl0Kukl93PZbYS
